学号,知识点id,分数
223401040106,3,-1
223401040107,3,-1
223401040108,3,-1
223401040109,3,-1
223401040110,3,-1
223401040111,3,-1
223401040112,3,-1
223401040113,3,-1
223401040114,3,-1
223401040115,3,-1
223401040116,3,-1
223401040117,3,-1
223401040118,3,-1
223401040119,3,-1
223401040120,3,-1
223401040121,3,-1
223401040122,3,-1
223401040123,3,-1
223401040124,3,-1
223401040125,3,-1
223401040126,3,-1
223401040127,3,-1
223401040128,3,-1
223401040129,3,-1
223401040130,3,-1
223401040131,3,-1
223401040132,3,-1
223401040133,3,-1
223401040134,3,-1
223401040135,3,-1
223401040201,3,-1
223401040202,3,-1
223401040203,3,-1
223401040204,3,-1
223401040205,3,-1
223401040206,3,-1
223401040207,3,-1
223401040208,3,-1
223401040209,3,-1
223401040210,3,-1
223401040211,3,-1
223401040212,3,-1
223401040213,3,-1
223401040214,3,-1
223401040215,3,-1
223401040216,3,-1
223401040217,3,-1
223401040218,3,-1
223401040219,3,-1
223401040220,3,-1
223401040221,3,-1
223401040222,3,-1
223401040223,3,-1
223401040224,3,-1
223401040225,3,-1
223401040226,3,-1
223401040227,3,-1
223401040228,3,-1
223401040229,3,-1
223401040230,3,-1
223401040231,3,-1
223401040232,3,-1
223401040233,3,-1
223401040234,3,-1
223401040235,3,-1
223401050101,3,-1
223401050102,3,-1
223401050103,3,-1
223401050104,3,-1
223401050105,3,-1
223401050106,3,-1
223401050107,3,-1
223401050108,3,-1
223401050109,3,-1
223401050110,3,-1
223401050111,3,-1
223401050112,3,-1
223401050113,3,-1
223401050114,3,-1
223401050115,3,-1
223401050116,3,-1
223401050117,3,-1
223401050118,3,-1
223401050119,3,-1
223401050120,3,-1
223401050121,3,-1
223401050122,3,-1
223401050123,3,-1
223401050124,3,-1
223401050125,3,-1
223401050126,3,-1
223401050127,3,-1
223401050128,3,-1
223401050129,3,-1
223401050130,3,-1
223401050131,3,-1
223401050132,3,-1
223401050134,3,-1
223401050135,3,-1
223401050201,3,-1
223401050202,3,-1
223401050203,3,-1
223401050204,3,-1
223401050205,3,-1
223401050206,3,-1
223401050207,3,-1
223401050208,3,-1
223401050209,3,-1
223401050210,3,-1
223401050211,3,-1
223401050212,3,-1
223401050213,3,-1
223401050214,3,-1
223401050215,3,-1
223401050216,3,-1
223401050217,3,-1
223401050218,3,-1
223401050219,3,-1
223401050220,3,-1
223401050221,3,-1
223401050222,3,-1
223401050223,3,-1
223401050224,3,-1
223401050225,3,-1
223401050226,3,-1
223401050227,3,-1
223401050228,3,-1
223401050229,3,-1
223401050230,3,-1
223401050231,3,-1
223401050232,3,-1
223401050233,3,-1
223401050234,3,-1
223401050235,3,-1
223405010213,3,-1
223406010708,3,-1
223406010709,3,-1
223407020133,3,-1
223407020218,3,-1
223408110202,3,-1
223409010210,3,-1
223411010109,3,-1
223411010111,3,-1
223411010232,3,-1
223411020111,3,-1
223411070102,3,-1
223412010212,3,-1
223423050108,3,-1
223423050133,3,-1
223428020104,3,-1
223428020136,3,-1
223428030201,3,-1
223428060112,3,-1
223428060201,3,-1
223428060202,3,-1
223428060218,3,-1
183423050114,4,100
193401010122,4,0
203401050130,4,0
203406010614,4,0
203409010318,4,0
213401010106,4,100
213401040108,4,100
213401050132,4,0
213401050217,4,100
213401050227,4,0
213401050230,4,0
213412010226,4,100
213428030211,4,100
213428040133,4,0
213428040214,4,100
223401010101,4,100
223401010102,4,0
223401010103,4,0
223401010104,4,0
223401010105,4,100
223401010106,4,0
223401010107,4,100
223401010108,4,100
223401010109,4,0
223401010110,4,0
223401010112,4,100
223401010113,4,100
223401010114,4,100
223401010115,4,100
223401010116,4,0
223401010117,4,100
223401010118,4,100
223401010119,4,100
223401010120,4,100
223401010121,4,100
223401010122,4,0
223401010123,4,100
223401010124,4,100
223401010125,4,100
223401010126,4,100
223401010127,4,100
223401010128,4,100
223401010129,4,0
223401010130,4,0
223401010131,4,0
223401010132,4,0
223401010133,4,100
223401010134,4,100
223401010136,4,100
223401010137,4,100
223401010138,4,0
223401010140,4,0
223401010201,4,0
223401010202,4,100
223401010203,4,100
223401010204,4,0
223401010205,4,0
223401010206,4,100
223401010207,4,100
223401010208,4,100
223401010209,4,100
223401010210,4,100
223401010211,4,100
223401010212,4,100
223401010214,4,0
223401010215,4,0
223401010216,4,100
223401010217,4,100
223401010218,4,100
223401010219,4,0
223401010220,4,100
223401010221,4,0
223401010222,4,100
223401010223,4,100
223401010224,4,0
223401010225,4,100
223401010226,4,0
223401010227,4,100
223401010228,4,0
223401010229,4,100
223401010230,4,100
223401010231,4,100
223401010232,4,100
223401010233,4,100
223401010234,4,100
